date,region,service_type,predicted_usage,provisioned_capacity,predicted_utilization_pct,predicted_cost_usd,forecast_confidence
2025-04-03,Europe-North,Storage,11251.82,14801,76.02,224.13,Medium
2025-04-04,Europe-North,Storage,11209.42,14801,75.73,223.28,Medium
2025-04-05,Europe-North,Storage,9491.96,14801,64.13,189.07,Medium
2025-04-06,Europe-North,Storage,9455.92,14801,63.89,188.36,Medium
2025-04-07,Europe-North,Storage,11082.22,14801,74.87,220.75,Medium
2025-04-08,Europe-North,Storage,11039.82,14801,74.59,219.91,Medium
2025-04-09,Europe-North,Storage,10997.42,14801,74.3,219.06,Medium
2025-04-10,Europe-North,Storage,10955.02,14801,74.02,218.22,Medium
2025-04-11,Europe-North,Storage,10912.62,14801,73.73,217.37,Medium
2025-04-12,Europe-North,Storage,9239.68,14801,62.43,184.05,Medium
2025-04-13,Europe-North,Storage,9203.64,14801,62.18,183.33,Medium
2025-04-14,Europe-North,Storage,10785.42,14801,72.87,214.84,Medium
2025-04-15,Europe-North,Storage,10743.02,14801,72.58,213.99,Medium
2025-04-16,Europe-North,Storage,10700.62,14801,72.3,213.15,Medium
2025-04-17,Europe-North,Storage,10658.22,14801,72.01,212.3,Medium
2025-04-18,Europe-North,Storage,10615.82,14801,71.72,211.46,Medium
2025-04-19,Europe-North,Storage,8987.4,14801,60.72,179.02,Medium
2025-04-20,Europe-North,Storage,8951.36,14801,60.48,178.3,Medium
2025-04-21,Europe-North,Storage,10488.62,14801,70.86,208.93,Medium
2025-04-22,Europe-North,Storage,10446.22,14801,70.58,208.08,Medium
2025-04-23,Europe-North,Storage,10403.82,14801,70.29,207.24,Medium
2025-04-24,Europe-North,Storage,10361.42,14801,70.0,206.39,Medium
2025-04-25,Europe-North,Storage,10319.02,14801,69.72,205.55,Medium
2025-04-26,Europe-North,Storage,8735.12,14801,59.02,174.0,Medium
2025-04-27,Europe-North,Storage,8699.08,14801,58.77,173.28,Medium
2025-04-28,Europe-North,Storage,10191.82,14801,68.86,203.01,Medium
2025-04-29,Europe-North,Storage,10149.42,14801,68.57,202.17,Medium
2025-04-30,Europe-North,Storage,10107.02,14801,68.29,201.32,Medium
2025-04-01,India-South,Compute,11414.63,18899,60.4,584.22,Medium
2025-04-02,India-South,Compute,11558.07,18899,61.16,591.57,Medium
2025-04-03,India-South,Compute,11701.5,18899,61.92,598.91,Medium
2025-04-04,India-South,Compute,11844.93,18899,62.67,606.25,Medium
2025-04-05,India-South,Compute,10190.11,18899,53.92,521.55,Medium
2025-04-06,India-South,Compute,10312.03,18899,54.56,527.79,Medium
2025-04-07,India-South,Compute,12275.23,18899,64.95,628.27,Medium
2025-04-08,India-South,Compute,12418.67,18899,65.71,635.61,Medium
2025-04-09,India-South,Compute,12562.1,18899,66.47,642.95,Medium
2025-04-10,India-South,Compute,12705.53,18899,67.23,650.3,Medium
2025-04-11,India-South,Compute,12848.97,18899,67.99,657.64,Medium
2025-04-12,India-South,Compute,11043.54,18899,58.43,565.23,Medium
2025-04-13,India-South,Compute,11165.46,18899,59.08,571.47,Medium
2025-04-14,India-South,Compute,13279.27,18899,70.26,679.66,Medium
2025-04-15,India-South,Compute,13422.7,18899,71.02,687.0,Medium
2025-04-16,India-South,Compute,13566.13,18899,71.78,694.34,Medium
2025-04-17,India-South,Compute,13709.57,18899,72.54,701.68,Medium
2025-04-18,India-South,Compute,13853.0,18899,73.3,709.03,Medium
2025-04-19,India-South,Compute,11896.97,18899,62.95,608.91,Medium
2025-04-20,India-South,Compute,12018.89,18899,63.6,615.15,Medium
2025-04-21,India-South,Compute,14283.3,18899,75.58,731.05,Medium
2025-04-22,India-South,Compute,14426.73,18899,76.34,738.39,Medium
2025-04-23,India-South,Compute,14570.17,18899,77.09,745.73,Medium
2025-04-24,India-South,Compute,14713.6,18899,77.85,753.07,Medium
2025-04-25,India-South,Compute,14857.03,18899,78.61,760.41,Medium
2025-04-26,India-South,Compute,12750.4,18899,67.47,652.59,Medium
2025-04-27,India-South,Compute,12872.32,18899,68.11,658.83,Medium
2025-04-28,India-South,Compute,15287.33,18899,80.89,782.44,Medium
2025-04-29,India-South,Compute,15430.77,18899,81.65,789.78,Medium
2025-04-30,India-South,Compute,15574.2,18899,82.41,797.12,Medium
2025-04-01,India-South,Storage,12498.57,13606,91.86,226.76,Medium
2025-04-02,India-South,Storage,12581.77,13606,92.47,228.27,Medium
2025-04-03,India-South,Storage,12664.97,13606,93.08,229.78,Medium
2025-04-04,India-South,Storage,12748.17,13606,93.7,231.29,Medium
2025-04-05,India-South,Storage,10906.66,13606,80.16,197.88,Medium
2025-04-06,India-South,Storage,10977.38,13606,80.68,199.16,Medium
2025-04-07,India-South,Storage,12997.77,13606,95.53,235.82,Medium
2025-04-08,India-South,Storage,13080.97,13606,96.14,237.33,Medium
2025-04-09,India-South,Storage,13164.17,13606,96.75,238.84,Medium
2025-04-10,India-South,Storage,13247.37,13606,97.36,240.35,Medium
2025-04-11,India-South,Storage,13330.57,13606,97.98,241.86,Medium
2025-04-12,India-South,Storage,11401.7,13606,83.8,206.86,Medium
2025-04-13,India-South,Storage,11472.42,13606,84.32,208.14,Medium
2025-04-14,India-South,Storage,13580.17,13606,99.81,246.38,Medium
2025-04-15,India-South,Storage,13663.37,13606,100.42,247.89,Medium
2025-04-16,India-South,Storage,13746.57,13606,101.03,249.4,Medium
2025-04-17,India-South,Storage,13829.77,13606,101.64,250.91,Medium
2025-04-18,India-South,Storage,13912.97,13606,102.26,252.42,Medium
2025-04-19,India-South,Storage,11896.74,13606,87.44,215.84,Medium
2025-04-20,India-South,Storage,11967.46,13606,87.96,217.12,Medium
2025-04-21,India-South,Storage,14162.57,13606,104.09,256.95,Medium
2025-04-22,India-South,Storage,14245.77,13606,104.7,258.46,Medium
2025-04-23,India-South,Storage,14328.97,13606,105.31,259.97,Medium
2025-04-24,India-South,Storage,14412.17,13606,105.93,261.48,Medium
2025-04-25,India-South,Storage,14495.37,13606,106.54,262.99,Medium
2025-04-26,India-South,Storage,12391.78,13606,91.08,224.82,Medium
2025-04-27,India-South,Storage,12462.5,13606,91.6,226.11,Medium
2025-04-28,India-South,Storage,14744.97,13606,108.37,267.52,Medium
2025-04-29,India-South,Storage,14828.17,13606,108.98,269.03,Medium
2025-04-30,India-South,Storage,14911.37,13606,109.59,270.54,Medium
2025-04-01,US-East,Compute,11032.05,10551,104.56,527.83,Medium
2025-04-02,US-East,Compute,10926.82,10551,103.56,522.79,Medium
2025-04-03,US-East,Compute,10821.58,10551,102.56,517.76,Medium
2025-04-04,US-East,Compute,10716.35,10551,101.57,512.72,Medium
2025-04-05,US-East,Compute,9019.45,10551,85.48,431.53,Medium
2025-04-06,US-East,Compute,8930.0,10551,84.64,427.25,Medium
2025-04-07,US-East,Compute,10400.65,10551,98.58,497.62,Medium
2025-04-08,US-East,Compute,10295.42,10551,97.58,492.58,Medium
2025-04-09,US-East,Compute,10190.18,10551,96.58,487.55,Medium
2025-04-10,US-East,Compute,10084.95,10551,95.58,482.51,Medium
2025-04-11,US-East,Compute,9979.72,10551,94.59,477.48,Medium
2025-04-12,US-East,Compute,8393.31,10551,79.55,401.58,Medium
2025-04-13,US-East,Compute,8303.86,10551,78.7,397.3,Medium
2025-04-14,US-East,Compute,9664.02,10551,91.59,462.37,Medium
2025-04-15,US-East,Compute,9558.78,10551,90.6,457.34,Medium
2025-04-16,US-East,Compute,9453.55,10551,89.6,452.3,Medium
2025-04-17,US-East,Compute,9348.32,10551,88.6,447.27,Medium
2025-04-18,US-East,Compute,9243.08,10551,87.6,442.23,Medium
2025-04-19,US-East,Compute,7767.17,10551,73.62,371.62,Medium
2025-04-20,US-East,Compute,7677.72,10551,72.77,367.34,Medium
2025-04-21,US-East,Compute,8927.38,10551,84.61,427.13,Medium
2025-04-22,US-East,Compute,8822.15,10551,83.61,422.09,Medium
2025-04-23,US-East,Compute,8716.92,10551,82.62,417.06,Medium
2025-04-24,US-East,Compute,8611.68,10551,81.62,412.02,Medium
2025-04-25,US-East,Compute,8506.45,10551,80.62,406.99,Medium
2025-04-26,US-East,Compute,7141.03,10551,67.68,341.66,Medium
2025-04-27,US-East,Compute,7051.59,10551,66.83,337.38,Medium
2025-04-28,US-East,Compute,8190.75,10551,77.63,391.88,Medium
2025-04-29,US-East,Compute,8085.52,10551,76.63,386.85,Medium
2025-04-30,US-East,Compute,7980.28,10551,75.64,381.81,Medium
2025-04-01,US-East,Storage,11703.08,12602,92.87,287.66,Medium
2025-04-02,US-East,Storage,11777.85,12602,93.46,289.5,Medium
2025-04-03,US-East,Storage,11852.62,12602,94.05,291.34,Medium
2025-04-04,US-East,Storage,11927.38,12602,94.65,293.17,Medium
2025-04-05,US-East,Storage,10201.83,12602,80.95,250.76,Medium
2025-04-06,US-East,Storage,10265.38,12602,81.46,252.32,Medium
2025-04-07,US-East,Storage,12151.68,12602,96.43,298.69,Medium
2025-04-08,US-East,Storage,12226.45,12602,97.02,300.52,Medium
2025-04-09,US-East,Storage,12301.22,12602,97.61,302.36,Medium
2025-04-10,US-East,Storage,12375.98,12602,98.21,304.2,Medium
2025-04-11,US-East,Storage,12450.75,12602,98.8,306.04,Medium
2025-04-12,US-East,Storage,10646.69,12602,84.48,261.69,Medium
2025-04-13,US-East,Storage,10710.24,12602,84.99,263.26,Medium
2025-04-14,US-East,Storage,12675.05,12602,100.58,311.55,Medium
2025-04-15,US-East,Storage,12749.82,12602,101.17,313.39,Medium
2025-04-16,US-East,Storage,12824.58,12602,101.77,315.23,Medium
2025-04-17,US-East,Storage,12899.35,12602,102.36,317.06,Medium
2025-04-18,US-East,Storage,12974.12,12602,102.95,318.9,Medium
2025-04-19,US-East,Storage,11091.55,12602,88.01,272.63,Medium
2025-04-20,US-East,Storage,11155.1,12602,88.52,274.19,Medium
2025-04-21,US-East,Storage,13198.42,12602,104.73,324.42,Medium
2025-04-22,US-East,Storage,13273.18,12602,105.33,326.25,Medium
2025-04-23,US-East,Storage,13347.95,12602,105.92,328.09,Medium
2025-04-24,US-East,Storage,13422.72,12602,106.51,329.93,Medium
2025-04-25,US-East,Storage,13497.48,12602,107.11,331.77,Medium
2025-04-26,US-East,Storage,11536.41,12602,91.54,283.56,Medium
2025-04-27,US-East,Storage,11599.96,12602,92.05,285.13,Medium
2025-04-28,US-East,Storage,13721.78,12602,108.89,337.28,Medium
2025-04-29,US-East,Storage,13796.55,12602,109.48,339.12,Medium
2025-04-30,US-East,Storage,13871.32,12602,110.07,340.96,Medium
2025-04-01,US-West,Compute,11327.57,8930,126.85,674.19,Medium
2025-04-02,US-West,Compute,11268.0,8930,126.18,670.65,Medium
2025-04-03,US-West,Compute,11208.43,8930,125.51,667.1,Medium
2025-04-04,US-West,Compute,11148.87,8930,124.85,663.56,Medium
2025-04-05,US-West,Compute,9425.9,8930,105.55,561.01,Medium
2025-04-06,US-West,Compute,9375.27,8930,104.99,558.0,Medium
2025-04-07,US-West,Compute,10970.17,8930,122.85,652.92,Medium
2025-04-08,US-West,Compute,10910.6,8930,122.18,649.38,Medium
2025-04-09,US-West,Compute,10851.03,8930,121.51,645.83,Medium
2025-04-10,US-West,Compute,10791.47,8930,120.85,642.29,Medium
2025-04-11,US-West,Compute,10731.9,8930,120.18,638.74,Medium
2025-04-12,US-West,Compute,9071.48,8930,101.58,539.92,Medium
2025-04-13,US-West,Compute,9020.85,8930,101.02,536.9,Medium
2025-04-14,US-West,Compute,10553.2,8930,118.18,628.1,Medium
2025-04-15,US-West,Compute,10493.63,8930,117.51,624.56,Medium
2025-04-16,US-West,Compute,10434.07,8930,116.84,621.01,Medium
2025-04-17,US-West,Compute,10374.5,8930,116.18,617.47,Medium
2025-04-18,US-West,Compute,10314.93,8930,115.51,613.92,Medium
2025-04-19,US-West,Compute,8717.06,8930,97.62,518.82,Medium
2025-04-20,US-West,Compute,8666.43,8930,97.05,515.81,Medium
2025-04-21,US-West,Compute,10136.23,8930,113.51,603.29,Medium
2025-04-22,US-West,Compute,10076.67,8930,112.84,599.74,Medium
2025-04-23,US-West,Compute,10017.1,8930,112.17,596.2,Medium
2025-04-24,US-West,Compute,9957.53,8930,111.51,592.65,Medium
2025-04-25,US-West,Compute,9897.97,8930,110.84,589.11,Medium
2025-04-26,US-West,Compute,8362.64,8930,93.65,497.73,Medium
2025-04-27,US-West,Compute,8312.01,8930,93.08,494.71,Medium
2025-04-28,US-West,Compute,9719.27,8930,108.84,578.47,Medium
2025-04-29,US-West,Compute,9659.7,8930,108.17,574.93,Medium
2025-04-30,US-West,Compute,9600.13,8930,107.5,571.38,Medium
2025-04-01,US-West,Storage,11697.25,11778,99.31,225.53,Medium
2025-04-02,US-West,Storage,11624.72,11778,98.7,224.13,Medium
2025-04-03,US-West,Storage,11552.18,11778,98.08,222.74,Medium
2025-04-04,US-West,Storage,11479.65,11778,97.47,221.34,Medium
2025-04-05,US-West,Storage,9696.05,11778,82.32,186.95,Medium
2025-04-06,US-West,Storage,9634.4,11778,81.8,185.76,Medium
2025-04-07,US-West,Storage,11262.05,11778,95.62,217.14,Medium
2025-04-08,US-West,Storage,11189.52,11778,95.0,215.74,Medium
2025-04-09,US-West,Storage,11116.98,11778,94.39,214.34,Medium
2025-04-10,US-West,Storage,11044.45,11778,93.77,212.95,Medium
2025-04-11,US-West,Storage,10971.92,11778,93.16,211.55,Medium
2025-04-12,US-West,Storage,9264.48,11778,78.66,178.63,Medium
2025-04-13,US-West,Storage,9202.82,11778,78.14,177.44,Medium
2025-04-14,US-West,Storage,10754.32,11778,91.31,207.35,Medium
2025-04-15,US-West,Storage,10681.78,11778,90.69,205.95,Medium
2025-04-16,US-West,Storage,10609.25,11778,90.08,204.55,Medium
2025-04-17,US-West,Storage,10536.72,11778,89.46,203.16,Medium
2025-04-18,US-West,Storage,10464.18,11778,88.85,201.76,Medium
2025-04-19,US-West,Storage,8832.9,11778,74.99,170.31,Medium
2025-04-20,US-West,Storage,8771.25,11778,74.47,169.12,Medium
2025-04-21,US-West,Storage,10246.58,11778,87.0,197.56,Medium
2025-04-22,US-West,Storage,10174.05,11778,86.38,196.16,Medium
2025-04-23,US-West,Storage,10101.52,11778,85.77,194.77,Medium
2025-04-24,US-West,Storage,10028.98,11778,85.15,193.37,Medium
2025-04-25,US-West,Storage,9956.45,11778,84.53,191.97,Medium
2025-04-26,US-West,Storage,8401.33,11778,71.33,161.98,Medium
2025-04-27,US-West,Storage,8339.68,11778,70.81,160.8,Medium
2025-04-28,US-West,Storage,9738.85,11778,82.69,187.77,Medium
2025-04-29,US-West,Storage,9666.32,11778,82.07,186.37,Medium
2025-04-30,US-West,Storage,9593.78,11778,81.46,184.98,Medium
